,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
180827,-855.6854398148134,1.0,-0.7841,0.5966666666666666,12.32,9.18,4,0,0,0,2,2,1,0,5,0,0,0.5038836224163569
76199,-3061.647175925784,5.0,0.9814,0.5251663961038961,9.59,7.68,4,0,2,0,5,1,0,0,0,0,1,0.3461607761878076
73524,401.7665162035264,4.0,0.6249,0.375,2.2,1.67,0,0,0,2,1,0,0,0,0,0,0,0.41034150313724965
133077,583.6034375000745,5.0,0.9531,0.6977272727272728,7.91,4.47,2,0,0,0,7,0,0,0,1,0,0,0.41782676622626086
19390,8.586724536959082,4.0,0.9967,0.5323163841807912,7.33,31.77,6,0,3,7,23,0,1,4,1,6,16,0.875768757439933
235827,42.994791666511446,1.0,0.9678,0.3803451178451178,9.13,18.0,3,4,0,0,6,0,2,2,3,0,0,0.7600571447482815
26497,781.2484722225927,1.0,-0.4404,0.4930555555555555,4.8,4.77,0,0,0,0,0,1,0,0,1,0,1,0.5728946495980352
51107,-3280.1569675924256,5.0,0.9162,0.5333333333333333,10.72,5.48,2,2,0,0,9,2,0,3,0,0,1,0.32146106804521035
237846,-3145.9921643519774,3.0,-0.5435,0.3,9.6,7.83,2,1,0,0,0,0,2,1,0,3,3,0.3094177921073093
19257,104.81204861076549,4.0,0.9382,0.5616161616161617,6.54,4.7,2,0,0,1,3,0,1,0,0,0,0,0.41796123415359243
117597,233.04991898173463,4.0,0.9852,0.6051366843033511,8.95,32.69,9,7,0,0,14,1,2,3,2,8,6,0.8551157519097442
68613,64.10728009231389,3.0,-0.5076,0.5109567901234568,10.08,11.0,1,0,0,1,4,2,1,1,1,2,1,0.6185601813495503
216455,472.1779166664928,1.0,-0.7834,0.6437499999999999,11.98,5.83,0,0,0,0,1,1,1,0,0,0,0,0.572122293677381
81965,22.13309027813375,5.0,0.93,0.8375,6.99,2.85,2,0,0,0,4,0,0,0,0,2,1,0.3243826774997472
20975,1161.1120717590677,3.0,0.9313,0.5624060150375939,6.15,10.43,2,0,1,1,9,4,1,0,0,2,8,0.6522105594770327
253871,81.77387731522322,1.0,-0.9005,0.4887632943188499,6.31,14.6,3,1,0,1,5,1,2,0,0,2,8,0.6465694850080732
121632,268.5040509263053,5.0,0.4898,0.5217171717171717,11.81,8.96,5,0,1,3,1,0,3,0,0,0,1,0.44131384997029166
51267,57.16575231449679,5.0,0.7351,0.5833333333333334,6.34,4.69,0,0,0,0,0,0,0,0,0,5,2,0.36331010769554756
47948,92.8882291666232,1.0,0.8074,0.4775510204081632,9.57,11.58,7,1,0,0,2,0,3,2,3,6,6,0.48256481185680267
118178,433.2146990741603,5.0,0.9823,0.4500801282051281,7.93,12.88,0,0,1,0,5,2,1,0,5,4,0,0.5965489572351036
212366,-3289.767175925896,1.0,0.2928,0.4225378787878788,8.74,10.55,0,1,0,0,2,0,3,0,10,4,1,0.29159181271180745
76621,2338.532314814627,4.0,0.9784,0.6485863095238095,5.88,8.77,2,0,1,8,10,2,0,4,0,2,4,0.7066519266373091
129703,862.5823032408953,4.0,0.9928,0.4569688790741421,5.11,36.81,14,4,1,11,17,4,5,3,4,10,26,0.7952047617583355
50223,191.6782870367169,5.0,0.987,0.485,10.45,8.49,6,0,0,0,5,3,1,0,3,0,6,0.41353485843937243
179310,9.03787037031725,1.0,0.7184,0.6,11.52,4.57,0,0,0,0,1,1,2,0,0,1,1,0.48309309906340414
208193,-3211.9868981479667,5.0,0.9313,0.6041666666666666,6.48,7.01,1,1,0,7,3,0,1,0,4,1,3,0.20727556293714666
12174,795.3473495370708,5.0,0.9485,0.4,6.13,2.47,1,0,0,0,0,0,0,2,0,0,1,0.4216764938083821
17277,298.44539351854473,2.0,-0.7906,0.8,8.31,4.08,2,0,0,1,1,1,1,1,0,0,3,0.4473071459089134
62140,1485.9459027778355,4.0,0.9246,0.4598765432098766,7.5,4.41,2,0,0,0,1,0,1,1,0,1,1,0.48733241737918576
259271,78.10804398171604,5.0,0.9662,0.6877976190476192,6.44,9.62,1,0,0,2,5,1,0,0,3,0,6,0.4402146719234016
58119,966.0985300927424,5.0,0.7925,0.475,6.9,4.1,0,0,0,0,3,0,0,0,0,0,0,0.4654163439959383
9806,639.2049074075185,3.0,0.9325,0.43875,7.25,4.27,5,1,0,0,2,1,0,2,0,3,0,0.4902936284663184
252715,186.356331018731,1.0,-0.3744,0.5574929971988796,6.55,9.62,1,0,0,1,4,1,0,0,1,1,0,0.6507923936689322
150312,426.1545717595145,1.0,-0.5574,0.6333333333333334,5.4,3.75,1,0,0,0,1,0,0,0,2,1,3,0.45819791387975556
252709,216.3361689816229,1.0,-0.7828,0.6652777777777777,3.79,3.47,1,1,0,2,2,1,0,0,0,0,0,0.5153418897073574
29847,498.9049652777612,5.0,0.9781,0.5692207792207793,9.4,5.11,1,0,0,2,4,1,0,0,0,1,0,0.4563905504563376
217035,295.8846990740858,4.0,0.9767,0.6055555555555555,10.59,8.23,3,0,1,4,6,3,0,0,0,1,4,0.546265071255426
105245,-2827.520069444552,5.0,0.9836,0.664952380952381,7.45,8.15,4,0,1,4,2,0,0,0,3,1,8,0.22227461131926152
173249,9.185601851902902,1.0,-0.9607,0.5894736842105264,8.05,16.25,6,8,0,2,5,1,2,2,6,6,10,0.5388359430705699
164559,18.84609953686595,4.0,0.8979,0.5452380952380953,19.78,3.13,0,0,0,1,3,1,0,0,0,1,0,0.41471526806243997
136745,392.7071412038058,5.0,0.9828,0.6144599844599844,8.06,5.08,3,0,1,0,6,0,0,0,1,0,1,0.4284153444327404
138234,76.22407407406718,4.0,0.9516,0.6326997655122655,6.35,12.46,5,0,0,0,8,1,0,0,1,0,0,0.6047403143292502
72650,-3175.048495370429,5.0,0.4019,0.4,5.96,3.92,1,0,0,2,2,0,0,0,1,2,1,0.2243014892755883
78181,-2569.6614699075,4.0,0.9906,0.4474025974025974,12.73,16.1,9,0,4,2,5,1,2,0,2,3,9,0.4423072732823596
148375,-2408.1072685183026,5.0,0.9898,0.6551010101010101,10.69,8.89,1,0,1,7,5,0,0,0,1,1,10,0.2802670723426323
183380,12.327152777463198,5.0,0.7996,0.53125,11.47,1.72,1,0,1,0,2,0,0,0,0,1,0,0.3570840463880867
140040,14.925879629794508,5.0,0.765,0.5342592592592593,7.12,3.72,0,0,0,0,2,3,0,0,0,0,0,0.44346942871920686
66812,40.97017361130565,5.0,0.9432,0.4613862433862434,7.87,7.64,0,1,0,0,3,1,0,0,0,1,2,0.48429372818604544
57781,239.39021990727636,5.0,0.9274,0.4575757575757576,5.54,4.19,0,0,1,0,4,0,0,0,0,2,1,0.4331312708394055
180462,-2593.677743055392,1.0,0.3612,0.53,7.49,7.9,2,0,0,0,0,1,1,0,1,1,4,0.3822496375247856
255976,333.2624421296641,2.0,0.2732,0.5258333333333333,5.94,5.39,1,0,0,0,3,3,0,0,1,0,2,0.5530722021998746
228333,44.91184027772397,5.0,0.8625,0.5125000000000001,5.71,4.57,3,0,1,0,1,1,0,1,0,1,1,0.4260616806620511
233735,-3224.901956018526,1.0,0.3597,0.5861111111111111,6.45,6.7,2,0,0,0,4,1,0,0,0,1,2,0.3798064863186895
144706,255.2951504630037,2.0,-0.7906,0.4677083333333333,5.46,5.32,2,0,0,0,3,0,0,1,0,0,0,0.5446428488846937
